text,label
I absolutely love this it made my day!,positive
This is amazing and so helpful thank you!,positive
Feeling grateful and excited about tomorrow,positive
What a wonderful surprise I'm thrilled!,positive
The team crushed it fantastic work everyone,positive
I feel calm happy and full of energy,positive
This food tastes incredible best meal ever,positive
Can't stop smiling everything clicked today,positive
She is kind brilliant and inspiring,positive
My vacation was peaceful and unforgettable,positive
Yes! That was exactly what I needed,positive
Proud of how far I've come this year,positive
Beautiful weather and even better company,positive
This app is delightful and easy to use,positive
I'm optimistic about the future again,positive
Great news we got the offer!,positive
Laughing so hard my cheeks hurt,positive
Warm hugs and good vibes all around,positive
The concert was electric and joyful,positive
Success feels sweet after all that effort,positive
I adore how thoughtful this gesture was,positive
Sunshine coffee and a perfect morning,positive
This book is uplifting and wise,positive
Feeling lucky and loved today,positive
What a charming little cafe pure joy,positive
Excellent support they solved it instantly,positive
I'm buzzing with creative ideas,positive
The puppy is adorable and playful,positive
Victory! We finally shipped the project,positive
Heartwarming story that restored my faith,positive
This playlist hits different in the best way,positive
Grateful for friends who show up,positive
A cozy night in with tea and kindness,positive
Brilliant design clean and delightful UX,positive
I'm so proud of you keep going!,positive
Fresh air and a clear mind bliss,positive
Today was productive and genuinely fun,positive
This gift means the world to me,positive
Sweet memories keep me smiling,positive
Absolutely fantastic experience from start to finish,positive
I hate this it's frustrating and useless,negative
This ruined my mood completely,negative
Feeling anxious tired and overwhelmed,negative
What a terrible disappointment I'm upset,negative
The service was rude and painfully slow,negative
I feel empty sad and stuck,negative
This food tastes awful worst meal ever,negative
Can't stop worrying everything went wrong,negative
He is mean careless and exhausting,negative
My trip was stressful and miserable,negative
No! That was the last thing I needed,negative
Ashamed of how little progress I made,negative
Horrible weather and even worse traffic,negative
This app is buggy and confusing,negative
I'm pessimistic about everything lately,negative
Bad news we lost the deal,negative
Crying again this day is brutal,negative
Cold silence and bitter arguments,negative
The concert was loud and awful,negative
Failure feels heavy after all that effort,negative
I despise how thoughtless this was,negative
Rain headaches and a ruined morning,negative
This book is bleak and draining,negative
Feeling lonely and unloved today,negative
What a grim little room pure misery,negative
Useless support they ignored my issue,negative
I'm stuck with zero creative ideas,negative
The puppy is sick and I'm scared,negative
Defeat. We missed the deadline again,negative
Heartbreaking story that left me empty,negative
This playlist is depressing and dull,negative
Frustrated with friends who never show up,negative
A lonely night with stress and regret,negative
Terrible design cluttered and annoying UX,negative
I'm so disappointed in you stop,negative
Stale air and a foggy mind bleak,negative
Today was wasted and genuinely awful,negative
This gift feels cheap and careless,negative
Painful memories keep me awake,negative
Absolutely dreadful experience from start to finish,negative
The meeting is at three,neutral
Please pass the salt,neutral
I went to the store yesterday,neutral
The document has twelve pages,neutral
Water boils at one hundred Celsius,neutral
She lives two blocks away,neutral
This box weighs about five pounds,neutral
The train arrives on platform four,neutral
My shirt is blue and cotton,neutral
We need milk eggs and bread,neutral
The library closes at nine,neutral
There are forty students in class,neutral
Tuesday follows Monday on the calendar,neutral
The file is saved in downloads,neutral
He answered with a short nod,neutral
The recipe calls for two cups of flour,neutral
Please review section three carefully,neutral
The building has six floors,neutral
I parked near the corner entrance,neutral
This table is made of oak,neutral
The email was sent this morning,neutral
Room temperature is twenty two degrees,neutral
The instructions are printed on the back,neutral
She took notes during the lecture,neutral
The package should arrive by Friday,neutral
Open the folder labeled projects,neutral
The bus route runs every fifteen minutes,neutral
My appointment is scheduled for noon,neutral
Add the numbers and write the total,neutral
The museum opens at ten,neutral
This sentence is purely informational,neutral
The printer needs more paper,neutral
He measured the length twice,neutral
The checklist has eight items left,neutral
Turn left at the second light,neutral
The chapter ends on page ninety,neutral
We discussed logistics and timelines,neutral
The sample size is one hundred,neutral
I'm thrilled beyond words this is perfect!,positive
Ugh this is the worst day of my week,negative
The coffee is on the counter,neutral
Your kindness made everything brighter,positive
Nothing works and I feel defeated,negative
The keys are in the drawer,neutral
Celebrating small wins feels so good,positive
I'm irritated and done with this mess,negative
Please submit the form by Monday,neutral
Wow that compliment really lifted me up,positive
This bug is driving me crazy,negative
The sky is cloudy today,neutral
I feel supported and hopeful again,positive
Everything hurts and nothing helps,negative
Set a reminder for tomorrow evening,neutral
Pure delight I could do this all day,positive
What a waste of time and energy,negative
The manual is twenty pages long,neutral
Joy is bubbling up in my chest,positive
I'm angry ignored and exhausted,negative
The password reset link expires soon,neutral
This community is warm and welcoming,positive
I regret every choice I made today,negative
Attach the spreadsheet to the email,neutral
Radiant morning soft light good coffee,positive
Dread is sitting heavy on my shoulders,negative
The conference room seats twelve people,neutral
I believe in us more than ever,positive
This is broken pointless and sad,negative
Check the second paragraph for typos,neutral
My heart is full and light tonight,positive
I can't stand another delay like this,negative
The map shows three possible routes,neutral
Grateful tears happy tears all good,positive
Hopeless thoughts keep looping in my head,negative
Store the samples in the fridge,neutral
This victory tastes better than cake,positive
I'm gutted by how cold they were,negative
Update the status column to done,neutral
Sparkling conversation and easy laughs,positive
Bitter silence after another argument,negative
The firmware version is 2.4.1,neutral
I feel alive curious and free,positive
Everything I touch turns into stress,negative
List the ingredients before you start,neutral
Sunshine in my pocket kind of day,positive
This outcome is unfair and crushing,negative
The average score was seventy eight,neutral
Cheering for you from the sidelines!,positive
I'm numb tired and checked out,negative
Put the tools back on the shelf,neutral
Magic moment I'll remember this forever,positive
Another letdown in a long string of them,negative
Confirm the reservation under my name,neutral
Blissful quiet after a noisy week,positive
Panic rising I can't catch my breath,negative
The diagram is on slide five,neutral
We did it together and it feels great,positive
I feel small unheard and defeated,negative
Replace the batteries in the remote,neutral
Sweet success after patient practice,positive
This betrayal cuts deeper than I expected,negative
The inventory count is due tonight,neutral
Laughing until we ran out of air,positive
I'm drowning in deadlines and doubt,negative
Copy these notes into the shared doc,neutral
Hope is back and so am I,positive
Nothing left but frustration and noise,negative
The oven needs fifteen minutes to preheat,neutral
